date,year,month,employment_ratio_monthly,employment_ratio_annual
2005-07-01,2005,7,50.472,50.26
2005-08-01,2005,8,50.507333,50.26
2005-09-01,2005,9,50.542667,50.26
2005-10-01,2005,10,50.578,50.26
2005-11-01,2005,11,50.613333,50.26
2005-12-01,2005,12,50.648667,50.26
2006-01-01,2006,1,50.684,50.684
2006-02-01,2006,2,50.690083,50.684
2006-03-01,2006,3,50.696167,50.684
2006-04-01,2006,4,50.70225,50.684
2006-05-01,2006,5,50.708333,50.684
2006-06-01,2006,6,50.714417,50.684
2006-07-01,2006,7,50.7205,50.684
2006-08-01,2006,8,50.726583,50.684
2006-09-01,2006,9,50.732667,50.684
2006-10-01,2006,10,50.73875,50.684
2006-11-01,2006,11,50.744833,50.684
2006-12-01,2006,12,50.750917,50.684
2007-01-01,2007,1,50.757,50.757
2007-02-01,2007,2,50.772667,50.757
2007-03-01,2007,3,50.788333,50.757
2007-04-01,2007,4,50.804,50.757
2007-05-01,2007,5,50.819667,50.757
2007-06-01,2007,6,50.835333,50.757
2007-07-01,2007,7,50.851,50.757
2007-08-01,2007,8,50.866667,50.757
2007-09-01,2007,9,50.882333,50.757
2007-10-01,2007,10,50.898,50.757
2007-11-01,2007,11,50.913667,50.757
2007-12-01,2007,12,50.929333,50.757
2008-01-01,2008,1,50.945,50.945
2008-02-01,2008,2,50.898917,50.945
2008-03-01,2008,3,50.852833,50.945
2008-04-01,2008,4,50.80675,50.945
2008-05-01,2008,5,50.760667,50.945
2008-06-01,2008,6,50.714583,50.945
2008-07-01,2008,7,50.6685,50.945
2008-08-01,2008,8,50.622417,50.945
2008-09-01,2008,9,50.576333,50.945
2008-10-01,2008,10,50.53025,50.945
2008-11-01,2008,11,50.484167,50.945
2008-12-01,2008,12,50.438083,50.945
2009-01-01,2009,1,50.392,50.392
2009-02-01,2009,2,50.421417,50.392
2009-03-01,2009,3,50.450833,50.392
2009-04-01,2009,4,50.48025,50.392
2009-05-01,2009,5,50.509667,50.392
2009-06-01,2009,6,50.539083,50.392
2009-07-01,2009,7,50.5685,50.392
2009-08-01,2009,8,50.597917,50.392
2009-09-01,2009,9,50.627333,50.392
2009-10-01,2009,10,50.65675,50.392
2009-11-01,2009,11,50.686167,50.392
2009-12-01,2009,12,50.715583,50.392
2010-01-01,2010,1,50.745,50.745
2010-02-01,2010,2,50.740417,50.745
2010-03-01,2010,3,50.735833,50.745
2010-04-01,2010,4,50.73125,50.745
2010-05-01,2010,5,50.726667,50.745
2010-06-01,2010,6,50.722083,50.745
2010-07-01,2010,7,50.7175,50.745
2010-08-01,2010,8,50.712917,50.745
2010-09-01,2010,9,50.708333,50.745
2010-10-01,2010,10,50.70375,50.745
2010-11-01,2010,11,50.699167,50.745
2010-12-01,2010,12,50.694583,50.745
2011-01-01,2011,1,50.69,50.69
2011-02-01,2011,2,50.676667,50.69
2011-03-01,2011,3,50.663333,50.69
2011-04-01,2011,4,50.65,50.69
2011-05-01,2011,5,50.636667,50.69
2011-06-01,2011,6,50.623333,50.69
2011-07-01,2011,7,50.61,50.69
2011-08-01,2011,8,50.596667,50.69
2011-09-01,2011,9,50.583333,50.69
2011-10-01,2011,10,50.57,50.69
2011-11-01,2011,11,50.556667,50.69
2011-12-01,2011,12,50.543333,50.69
2012-01-01,2012,1,50.53,50.53
2012-02-01,2012,2,50.475333,50.53
2012-03-01,2012,3,50.420667,50.53
2012-04-01,2012,4,50.366,50.53
2012-05-01,2012,5,50.311333,50.53
2012-06-01,2012,6,50.256667,50.53
2012-07-01,2012,7,50.202,50.53
2012-08-01,2012,8,50.147333,50.53
2012-09-01,2012,9,50.092667,50.53
2012-10-01,2012,10,50.038,50.53
2012-11-01,2012,11,49.983333,50.53
2012-12-01,2012,12,49.928667,50.53
2013-01-01,2013,1,49.874,49.874
2013-02-01,2013,2,49.839,49.874
2013-03-01,2013,3,49.804,49.874
2013-04-01,2013,4,49.769,49.874
2013-05-01,2013,5,49.734,49.874
2013-06-01,2013,6,49.699,49.874
2013-07-01,2013,7,49.664,49.874
2013-08-01,2013,8,49.629,49.874
2013-09-01,2013,9,49.594,49.874
2013-10-01,2013,10,49.559,49.874
2013-11-01,2013,11,49.524,49.874
2013-12-01,2013,12,49.489,49.874
2014-01-01,2014,1,49.454,49.454
2014-02-01,2014,2,49.603083,49.454
2014-03-01,2014,3,49.752167,49.454
2014-04-01,2014,4,49.90125,49.454
2014-05-01,2014,5,50.050333,49.454
2014-06-01,2014,6,50.199417,49.454
2014-07-01,2014,7,50.3485,49.454
2014-08-01,2014,8,50.497583,49.454
2014-09-01,2014,9,50.646667,49.454
2014-10-01,2014,10,50.79575,49.454
2014-11-01,2014,11,50.944833,49.454
2014-12-01,2014,12,51.093917,49.454
2015-01-01,2015,1,51.243,51.243
2015-02-01,2015,2,51.259917,51.243
2015-03-01,2015,3,51.276833,51.243
2015-04-01,2015,4,51.29375,51.243
2015-05-01,2015,5,51.310667,51.243
2015-06-01,2015,6,51.327583,51.243
2015-07-01,2015,7,51.3445,51.243
2015-08-01,2015,8,51.361417,51.243
2015-09-01,2015,9,51.378333,51.243
2015-10-01,2015,10,51.39525,51.243
2015-11-01,2015,11,51.412167,51.243
2015-12-01,2015,12,51.429083,51.243
2016-01-01,2016,1,51.446,51.446
2016-02-01,2016,2,51.476083,51.446
2016-03-01,2016,3,51.506167,51.446
2016-04-01,2016,4,51.53625,51.446
2016-05-01,2016,5,51.566333,51.446
2016-06-01,2016,6,51.596417,51.446
2016-07-01,2016,7,51.6265,51.446
2016-08-01,2016,8,51.656583,51.446
2016-09-01,2016,9,51.686667,51.446
2016-10-01,2016,10,51.71675,51.446
2016-11-01,2016,11,51.746833,51.446
2016-12-01,2016,12,51.776917,51.446
2017-01-01,2017,1,51.807,51.807
2017-02-01,2017,2,51.61375,51.807
2017-03-01,2017,3,51.4205,51.807
2017-04-01,2017,4,51.22725,51.807
2017-05-01,2017,5,51.034,51.807
2017-06-01,2017,6,50.84075,51.807
2017-07-01,2017,7,50.6475,51.807
2017-08-01,2017,8,50.45425,51.807
2017-09-01,2017,9,50.261,51.807
2017-10-01,2017,10,50.06775,51.807
2017-11-01,2017,11,49.8745,51.807
2017-12-01,2017,12,49.68125,51.807
2018-01-01,2018,1,49.488,49.488
2018-02-01,2018,2,49.51475,49.488
2018-03-01,2018,3,49.5415,49.488
2018-04-01,2018,4,49.56825,49.488
2018-05-01,2018,5,49.595,49.488
2018-06-01,2018,6,49.62175,49.488
2018-07-01,2018,7,49.6485,49.488
2018-08-01,2018,8,49.67525,49.488
2018-09-01,2018,9,49.702,49.488
2018-10-01,2018,10,49.72875,49.488
2018-11-01,2018,11,49.7555,49.488
2018-12-01,2018,12,49.78225,49.488
2019-01-01,2019,1,49.809,49.809
2019-02-01,2019,2,49.640417,49.809
2019-03-01,2019,3,49.471833,49.809
2019-04-01,2019,4,49.30325,49.809
2019-05-01,2019,5,49.134667,49.809
2019-06-01,2019,6,48.966083,49.809
2019-07-01,2019,7,48.7975,49.809
2019-08-01,2019,8,48.628917,49.809
2019-09-01,2019,9,48.460333,49.809
2019-10-01,2019,10,48.29175,49.809
2019-11-01,2019,11,48.123167,49.809
2019-12-01,2019,12,47.954583,49.809
2020-01-01,2020,1,47.786,47.786
2020-02-01,2020,2,47.75,47.786
2020-03-01,2020,3,47.714,47.786
2020-04-01,2020,4,47.678,47.786
2020-05-01,2020,5,47.642,47.786
2020-06-01,2020,6,47.606,47.786
2020-07-01,2020,7,47.57,47.786
2020-08-01,2020,8,47.534,47.786
2020-09-01,2020,9,47.498,47.786
2020-10-01,2020,10,47.462,47.786
2020-11-01,2020,11,47.426,47.786
2020-12-01,2020,12,47.39,47.786
2021-01-01,2021,1,47.354,47.354
2021-02-01,2021,2,47.364167,47.354
2021-03-01,2021,3,47.374333,47.354
2021-04-01,2021,4,47.3845,47.354
2021-05-01,2021,5,47.394667,47.354
2021-06-01,2021,6,47.404833,47.354
2021-07-01,2021,7,47.415,47.354
2021-08-01,2021,8,47.425167,47.354
2021-09-01,2021,9,47.435333,47.354
2021-10-01,2021,10,47.4455,47.354
2021-11-01,2021,11,47.455667,47.354
2021-12-01,2021,12,47.465833,47.354
2022-01-01,2022,1,47.476,47.476
2022-02-01,2022,2,47.290833,47.476
2022-03-01,2022,3,47.105667,47.476
2022-04-01,2022,4,46.9205,47.476
2022-05-01,2022,5,46.735333,47.476
2022-06-01,2022,6,46.550167,47.476
2022-07-01,2022,7,46.365,47.476
2022-08-01,2022,8,46.179833,47.476
2022-09-01,2022,9,45.994667,47.476
2022-10-01,2022,10,45.8095,47.476
2022-11-01,2022,11,45.624333,47.476
2022-12-01,2022,12,45.439167,47.476
2023-01-01,2023,1,45.254,45.254
2023-02-01,2023,2,45.361167,45.254
2023-03-01,2023,3,45.468333,45.254
2023-04-01,2023,4,45.5755,45.254
2023-05-01,2023,5,45.682667,45.254
2023-06-01,2023,6,45.789833,45.254
2023-07-01,2023,7,45.897,45.254
2023-08-01,2023,8,46.004167,45.254
2023-09-01,2023,9,46.111333,45.254
2023-10-01,2023,10,46.2185,45.254
2023-11-01,2023,11,46.325667,45.254
2023-12-01,2023,12,46.432833,45.254
2024-01-01,2024,1,46.54,46.54
2024-02-01,2024,2,46.542833,46.54
2024-03-01,2024,3,46.545667,46.54
2024-04-01,2024,4,46.5485,46.54
2024-05-01,2024,5,46.551333,46.54
2024-06-01,2024,6,46.554167,46.54
2024-07-01,2024,7,46.557,46.54
2024-08-01,2024,8,46.559833,46.54
2024-09-01,2024,9,46.562667,46.54
2024-10-01,2024,10,46.5655,46.54
2024-11-01,2024,11,46.568333,46.54
2024-12-01,2024,12,46.571167,46.54
2025-01-01,2025,1,46.574,46.574
2025-02-01,2025,2,46.574,46.574
2025-03-01,2025,3,46.574,46.574
2025-04-01,2025,4,46.574,46.574
2025-05-01,2025,5,46.574,46.574
2025-06-01,2025,6,46.574,46.574
2025-07-01,2025,7,46.574,46.574
2025-08-01,2025,8,46.574,46.574
2025-09-01,2025,9,46.574,46.574
2025-10-01,2025,10,46.574,46.574
2025-11-01,2025,11,46.574,46.574
2025-12-01,2025,12,46.574,46.574
